plant_id,nutrition_id
1,12
1,16
1,11
1,14
1,18
1,27
2,1
3,16
3,9
3,12
4,11
4,31
5,11
5,8
5,2
6,18
6,11
6,9
6,14
6,27
6,31
7,10
7,18
7,12
7,19
7,21
7,23
7,27
7,11
7,7
7,31
8,21
8,27
8,6
8,17
8,1
8,31
8,11
9,18
9,19
9,13
9,12
9,15
9,11
9,14
9,7
9,31
9,21
9,22
9,23
9,24
9,25
9,27
9,29
10,18
10,20
10,21
10,23
10,24
11,12
11,19
11,18
11,13
11,27
11,21
11,29
11,9
11,6
11,11
11,31
11,14
11,7
12,18
12,21
12,27
12,30
12,11
12,3
13,21
13,23
13,26
13,27
13,14
13,9
13,11
13,31
13,32
14,21
14,23
14,27
14,10
14,18
14,13
14,11
15,29
15,31
15,6
15,18
15,11
16,27
16,5
17,7
17,11
17,27
17,28
17,29
17,21
18,12
18,13
18,18
18,11
18,21
18,23
18,27
18,15
18,7
18,31
